Site	Left	Right	Strand	Transcription-Units	Common-Name
Fnr DNA-binding-site (BS0-9683)	771071	771086			
Fnr DNA-binding-site (BS0-9684)	771051	771066			
Fnr DNA-binding-site (BS0-9685)	771040	771055			
Fnr DNA-binding-site (BS0-9686)	1547216	1547231			
Fnr DNA-binding-site (BS0-9687)	1399641	1399656			
Fnr DNA-binding-site (BS0-9688)	954593	954608			
Fnr DNA-binding-site (BS0-9689)	954671	954686			
Fnr DNA-binding-site (BS0-9690)	954740	954755			
Fnr DNA-binding-site (BS0-9691)	954751	954766			
Fnr DNA-binding-site (BS0-9692)	954762	954777			
Fnr DNA-binding-site (BS0-9693)	3275243	3275258			
Fnr DNA-binding-site (BS0-9694)	4133538	4133553			
Fnr DNA-binding-site (BS0-9695)	4133498	4133513			
Fnr DNA-binding-site (BS0-9696)	2947333	2947348			
Fnr DNA-binding-site (BS0-9697)	1862733	1862748			
Fnr DNA-binding-site (BS0-9698)	1862475	1862490			
Fnr DNA-binding-site (BS0-9699)	1862006	1862021			
Fnr DNA-binding-site (BS0-9700)	1279472	1279487			
Fnr DNA-binding-site (BS0-9701)	1937632	1937647			
Fnr DNA-binding-site (BS0-9702)	98	113			
Fnr DNA-binding-site (BS0-9703)	2716503	2716518			
Fnr DNA-binding-site (BS0-9704)	1517712	1517727			
Fnr DNA-binding-site (BS0-9705)	1636697	1636712			
Fnr DNA-binding-site (BS0-9706)	2460521	2460536			
Fnr DNA-binding-site (BS0-9707)	2564382	2564397			
Fnr DNA-binding-site (BS0-9708)	2564236	2564251			
Fnr DNA-binding-site (BS0-9709)	3785250	3785265			
Fnr DNA-binding-site (BS0-9710)	1667333	1667348			
Fnr DNA-binding-site 0.5 bases upstream of fnrp	1399546	1399560	-	fnr	
Fnr DNA-binding-site 0.5 bases upstream of ubiCp	4252436	4252450	+	ubiCA	
Fnr DNA-binding-site 10.5 bases upstream of aldAp	1488173	1488187	+	aldA	
Fnr DNA-binding-site 105.5 bases upstream of hyfAp	2601059	2601073	+	hyfABCDEFGHIJR-focB	
Fnr DNA-binding-site 105.5 bases upstream of tdcAp	3267192	3267206	-	tdcABCDEFG	
Fnr DNA-binding-site 106.5 bases upstream of narXp	1277877	1277891	-	narXL	
Fnr DNA-binding-site 107.5 bases downstream of narXp	1277664	1277678	-	narXL	
Fnr DNA-binding-site 11.5 bases downstream of citCp2	652022	652036		citCDEFXG // dpiBA	
Fnr DNA-binding-site 11.5 bases downstream of gadAp2	3667590	3667604	-	gadAX // gadAX	
Fnr DNA-binding-site 112.5 bases upstream of katGp	4133693	4133707	+	katG	
Fnr DNA-binding-site 114.5 bases upstream of fumBp	4347456	4347470	-	fumB	
Fnr DNA-binding-site 115.5 bases upstream of dcuCp	656192	656206	-	dcuC	
Fnr DNA-binding-site 126.5 bases upstream of ompWp	1313858	1313872	+	ompW	
Fnr DNA-binding-site 127.5 bases upstream of malPp	3552631	3552645	-	malPQ	
Fnr DNA-binding-site 131.5 bases upstream of glpTQp	2352576	2352590		glpTQ // glpABC	
Fnr DNA-binding-site 140.5 bases upstream of norVp	2832292	2832306	+	norVW	
Fnr DNA-binding-site 143.5 bases upstream of fesp	612537	612551	+	fes-ybdZ-entF-fepE	
Fnr DNA-binding-site 148.5 bases upstream of tdcAp	3267235	3267249	-	tdcABCDEFG	
Fnr DNA-binding-site 149.5 bases upstream of hypBp	2850683	2850697	+	hypBCDE-fhlA // hypBCDE	
Fnr DNA-binding-site 156.5 bases upstream of cadCp	4362113	4362127	-	cadC	
Fnr DNA-binding-site 159.5 bases upstream of gadXp	3665992	3666006	-	gadXW // gadX	
Fnr DNA-binding-site 162.5 bases upstream of dppAp	3708026	3708040	-	dppABCDF	
Fnr DNA-binding-site 18.5 bases upstream of tpxp	1388856	1388870	-	tpx	
Fnr DNA-binding-site 192.5 bases upstream of cyoAp	451839	451853	-	cyoABCDE	
Fnr DNA-binding-site 192.5 bases upstream of purMp	2620954	2620968	+	purMN	
Fnr DNA-binding-site 201.5 bases upstream of ravAp	3931323	3931337	-	ravA-viaA	
Fnr DNA-binding-site 24.5 bases upstream of hemAp1	1263645	1263659	+	hemA-prfA-prmC	
Fnr DNA-binding-site 26.5 bases upstream of gltBp2	3354476	3354490	+	gltBDF // gltBDF	
Fnr DNA-binding-site 26.5 bases upstream of ybdNp	636706	636720	-	ybdN	
Fnr DNA-binding-site 28.5 bases upstream of yeiLp	2255255	2255269	+	yeiL	
Fnr DNA-binding-site 29 bases downstream of puuAp	1360933	1360947	-	puuAP	
Fnr DNA-binding-site 303.5 bases upstream of ybdNp	636983	636997	-	ybdN	
Fnr DNA-binding-site 33.5 bases upstream of dcuCp	656110	656124	-	dcuC	
Fnr DNA-binding-site 33.5 bases upstream of nrdDp	4462865	4462879	-	nrdDG	
Fnr DNA-binding-site 34.5 bases downstream of moeAp	866354	866368	-	moeAB	
Fnr DNA-binding-site 37.5 bases upstream of sodAp	4100715	4100729	+	sodA	
Fnr DNA-binding-site 39.5 bases upstream of moaAp1	816781	816795	+	moaABCDE	
Fnr DNA-binding-site 40.5 bases upstream of acnAp2	1335734	1335748	+	acnA	
Fnr DNA-binding-site 40.5 bases upstream of aspAp	4368466	4368480	-	aspA-dcuA // aspA	
Fnr DNA-binding-site 40.5 bases upstream of focAp1	954527	954541	-	focA-pflB	
Fnr DNA-binding-site 40.5 bases upstream of grcAp1	2716557	2716571	-	grcA	
Fnr DNA-binding-site 40.5 bases upstream of nikAp1	3613581	3613595	+	nikABCDER	
Fnr DNA-binding-site 40.5 bases upstream of nuoAp2	2405196	2405210	-	nuoABCEFGHIJKLMN	
Fnr DNA-binding-site 40.5 bases upstream of ynfEp2	1657956	1657970	+	ynfEFGH-dmsD // ynfEFGH-dmsD	
Fnr DNA-binding-site 404.5 bases upstream of ydeJp	1624277	1624291	+	ydeJ	
Fnr DNA-binding-site 41.5 bases upstream of ansBp2	3100786	3100800	-	ansB	
Fnr DNA-binding-site 41.5 bases upstream of caiTp	42072	42086	-	caiTABCDE	
Fnr DNA-binding-site 41.5 bases upstream of ccpp	3669296	3669310	-	ccp	
Fnr DNA-binding-site 41.5 bases upstream of dmsAp1	940775	940789	+	dmsABC	
Fnr DNA-binding-site 41.5 bases upstream of narGp	1279759	1279773	+	narGHJI	
Fnr DNA-binding-site 41.5 bases upstream of narKp1	1277884	1277898	+	narK	
Fnr DNA-binding-site 41.5 bases upstream of nirBp	3493939	3493953	+	nirBDC-cysG	
Fnr DNA-binding-site 41.5 bases upstream of nrfAp	4287623	4287637	+	nrfABCDEFG	
Fnr DNA-binding-site 41.5 bases upstream of yfgFp	2629066	2629080	-	yfgF	
Fnr DNA-binding-site 42.5 bases upstream of adhEp2	1298345	1298359	-	adhE	
Fnr DNA-binding-site 42.5 bases upstream of fdnGp	1547323	1547337	+	fdnGHI	
Fnr DNA-binding-site 42.5 bases upstream of fnrSp	1409080	1409094	+	fnrS	
Fnr DNA-binding-site 42.5 bases upstream of ydhYp	1754678	1754692	-	ydhYVWXUT	
Fnr DNA-binding-site 43.5 bases upstream of hypBp	2850789	2850803	+	hypBCDE-fhlA // hypBCDE	
Fnr DNA-binding-site 44.5 bases upstream of cydAp4	771162	771176	+	cydAB // cydAB // cydAB // cydAB	
Fnr DNA-binding-site 45.5 bases upstream of dcuBp1	4348803	4348817	-	dcuB-fumB	
Fnr DNA-binding-site 45.5 bases upstream of frdAp2	4382451	4382465	-	frdABCD // frdABCD	
Fnr DNA-binding-site 49.5 bases upstream of aerp	3219163	3219177	-	aer	
Fnr DNA-binding-site 5.5 bases downstream of hmpp	2685795	2685809	+	hmp	
Fnr DNA-binding-site 50.5 bases upstream of ndhp	1165935	1165949	+	ndh	
Fnr DNA-binding-site 50.5 bases upstream of pdhRp2	121977	121991	+	pdhR-aceEF-lpdA // pdhR-aceEF-lpdA	
Fnr DNA-binding-site 55.5 bases upstream of caiFp	34156	34170	+	caiF	
Fnr DNA-binding-site 57.5 bases upstream of fumBp	4347399	4347413	-	fumB	
Fnr DNA-binding-site 58.5 bases upstream of focAp3	954866	954880	-	focA-pflB	
Fnr DNA-binding-site 61.5 bases upstream of fumBp	4347403	4347417	-	fumB	
Fnr DNA-binding-site 61.5 bases upstream of hlyEp	1230521	1230535	-	hlyE	
Fnr DNA-binding-site 61.5 bases upstream of uppp	2620964	2620978	-	upp-uraA	
Fnr DNA-binding-site 63.5 bases upstream of dcuCp	656140	656154	-	dcuC	
Fnr DNA-binding-site 64.5 bases upstream of napFp1	2303632	2303646	-	napFDAGHBC-ccmABCDEFGH	
Fnr DNA-binding-site 64.5 bases upstream of nrdDp	4462896	4462910	-	nrdDG	
Fnr DNA-binding-site 70.5 bases upstream of iraMp1	1212154	1212168	-	iraM	
Fnr DNA-binding-site 71.5 bases upstream of ravAp	3931193	3931207	-	ravA-viaA	
Fnr DNA-binding-site 72.5 bases upstream of hcpp1	913911	913925	-	hcp-hcr-poxB // hcp-hcr	
Fnr DNA-binding-site 75 bases upstream of narXp	1277845	1277859	-	narXL	
Fnr DNA-binding-site 79.5 bases upstream of narKp1	1277846	1277860	+	narK	
Fnr DNA-binding-site 81.5 bases upstream of ompWp	1313903	1313917	+	ompW	
Fnr DNA-binding-site 82.5 bases upstream of arcAp1	4640584	4640598	-	arcA // arcA	
Fnr DNA-binding-site 90.5 bases upstream of caiTp	42121	42135		caiTABCDE // fixABCX	
Fnr DNA-binding-site 90.5 bases upstream of cydDp	931115	931129	-	cydDC	
Fnr DNA-binding-site 90.5 bases upstream of feoAp	3539956	3539978	+	feoABC	
Fnr DNA-binding-site 91.5 bases upstream of glpTQp	2352536	2352550		glpTQ // glpABC	
Fnr DNA-binding-site 93.5 bases upstream of grcAp1	2716610	2716624	-	grcA	
Fnr DNA-binding-site 94.5 bases upstream of ndhp	1165891	1165905	+	ndh	
Fnr DNA-binding-site 96.5 bases upstream of cydAp4	771110	771124	+	cydAB // cydAB // cydAB // cydAB	
Fnr DNA-binding-site 96.5 bases upstream of katGp	4133709	4133723	+	katG	
Fnr DNA-binding-site 97.5 bases upstream of fdnGp	1547268	1547282	+	fdnGHI	
Fnr DNA-binding-site regulating acrEp			+	acrEF	
Fnr DNA-binding-site regulating bcsBp			-	bcsBZ	
Fnr DNA-binding-site regulating dcuSp			-	dcuSR	
Fnr DNA-binding-site regulating emrKp			-	emrKY	
Fnr DNA-binding-site regulating gapC_1C_2			-	gapC_1C_2	
Fnr DNA-binding-site regulating garPp			-	garPLRK-rnpB	
Fnr DNA-binding-site regulating gcvTp			-	gcvTHP	
Fnr DNA-binding-site regulating idlPp			+	iraD	
Fnr DNA-binding-site regulating lpdAp			+	lpdA	
Fnr DNA-binding-site regulating nfeRp			+	nfeR	
Fnr DNA-binding-site regulating ompXp2			+	ompX	
Fnr DNA-binding-site regulating pepTp			+	pepT	
Fnr DNA-binding-site regulating pitAp			+	pitA	
Fnr DNA-binding-site regulating pstSp2			-	pstSCAB-phoU // pstS // pstSCA // pstSCA // pstS // pstSCAB-phoU	
Fnr DNA-binding-site regulating rplMp			-	rplM-rpsI	
Fnr DNA-binding-site regulating scpA-argK-scpBC			+	scpA-argK-scpBC	
Fnr DNA-binding-site regulating sdhCp			+	sdhCDAB-sucABCD-sdhX	
Fnr DNA-binding-site regulating ssuEp			-	ssuEADCB	
Fnr DNA-binding-site regulating sucAp			+	sucAB // sucABCD-sdhX	
Fnr DNA-binding-site regulating tarp			-	tar-tap-cheRBYZ	
Fnr DNA-binding-site regulating uxaCp2			-	uxaCA	
Fnr DNA-binding-site regulating xdhAp1			+	xdhABC	
Fnr DNA-binding-site regulating ycaC			-	ycaC	
Fnr DNA-binding-site regulating ychOp			+	ychO	
Fnr DNA-binding-site regulating ydfZ			+	ydfZ	
Fnr DNA-binding-site regulating yecRp			+	yecR	
Fnr DNA-binding-site regulating ygbAp			-	ygbA	
Fnr DNA-binding-site regulating ysgAp			-	ysgA	
FrmR DNA-binding-site regulating frmRAB	379908	379957	-	frmRAB	
Fur DNA-binding-site (BS0-10862)	1674482	1674497			
Fur DNA-binding-site (BS0-10912)	28282	28303			
Fur DNA-binding-site (BS0-10936)	842256	842277			
Fur DNA-binding-site (BS0-10944)	1582718	1582739			
Fur DNA-binding-site (BS0-10972)	1335455	1335476			
Fur DNA-binding-site (BS0-10973)	1215669	1215684			
Fur DNA-binding-site 275 bases downstream of uxaBp	1610439	1610454	-	uxaB	
Fur DNA-binding-site regulating sdhCDAB			+	sdhCDAB	
GadE DNA-binding-site 198.5 bases upstream of gadEp2	3658137	3658157	+	gadEF-mdtEF	
GadE DNA-binding-site 284 bases upstream of gltBp2	3354215	3354235	+	gltBDF // gltBDF	
GadE DNA-binding-site 30.5 bases upstream of gadEp2	3658305	3658325	+	gadEF-mdtEF	
GadE DNA-binding-site 40 bases upstream of yjbQp	4270164	4270184	+	yjbQR	
GadE DNA-binding-site 51.5 bases upstream of hdeDp2	3656899	3656919		hdeD // hdeAB-yhiD // hdeD // hdeAB-yhiD	
GadE DNA-binding-site 62.5 bases upstream of gadBp2	1572125	1572145	-	gadBC // gadBC	
GadE DNA-binding-site 63.5 bases upstream of gadEp2	3658272	3658292	+	gadEF-mdtEF	
GadE DNA-binding-site 78.5 bases upstream of yhiMp	3634655	3634675	+	yhiM	
GadE DNA-binding-site 9.5 bases downstream of hdeAp2	3656773	3656793	-	hdeAB-yhiD // hdeAB-yhiD	
GadE DNA-binding-site regulating fliCp			-	fliCX	
GadE DNA-binding-site regulating gadXp			-	gadXW // gadX	
GadE DNA-binding-site regulating lrpp			+	lrp	
GadE DNA-binding-site regulating rcsAp			+	rcsA	
GadRcs DNA-binding-site 62.5 bases upstream of gadAp2	3667660	3667680	-	gadAX // gadAX	
GadRcs DNA-binding-site regulating adiCp7			-	adiC	
GadRcs DNA-binding-site regulating aslBp			+	aslB	
GadRcs DNA-binding-site regulating cadBp			-	cadBA	
GadRcs DNA-binding-site regulating slpp			+	slp-dctR	
GadRcs DNA-binding-site regulating yhiMp			+	yhiM	
GadW DNA-binding-site 100.5 bases upstream of gadAp2	3667698	3667718	-	gadAX // gadAX	
GadW DNA-binding-site 119.5 bases upstream of gadBp2	1572182	1572202	-	gadBC // gadBC	
GadW DNA-binding-site 121.5 bases upstream of gadAp2	3667719	3667739	-	gadAX // gadAX	
GadW DNA-binding-site 126.5 bases upstream of hdeAp2	3656908	3656928	-	hdeAB-yhiD // hdeAB-yhiD	
GadW DNA-binding-site 210.5 bases upstream of gadBp2	1572273	1572293	-	gadBC // gadBC	
GadW DNA-binding-site 231.5 bases upstream of gadBp2	1572294	1572314	-	gadBC // gadBC	
GadW DNA-binding-site 32.5 bases upstream of gadWp2	3664804	3664824		gadW // gadY	
GadW DNA-binding-site 53.5 bases upstream of gadWp2	3664825	3664845		gadW // gadY	
GadW DNA-binding-site 53.5 bases upstream of hdeAp2	3656835	3656855	-	hdeAB-yhiD // hdeAB-yhiD	
GadW DNA-binding-site 57.5 bases upstream of gadAp2	3667655	3667675	-	gadAX // gadAX	
GadW DNA-binding-site 574.5 bases upstream of gadEp2	3657761	3657781	+	gadEF-mdtEF	
GadW DNA-binding-site 595.5 bases upstream of gadEp2	3657740	3657760	+	gadEF-mdtEF	
GadW DNA-binding-site 60.5 bases upstream of slpp	3653866	3653886	+	slp-dctR	
GadW DNA-binding-site 74.5 bases upstream of hdeAp2	3656856	3656876	-	hdeAB-yhiD // hdeAB-yhiD	
GadW DNA-binding-site 78 bases upstream of gadAp2	3667676	3667695	-	gadAX // gadAX	
GadW DNA-binding-site 81.5 bases upstream of slpp	3653845	3653865	+	slp-dctR	
GadW DNA-binding-site 98.5 bases upstream of gadBp2	1572161	1572181	-	gadBC // gadBC	
GadX DNA-binding-site 10.5 bases upstream of gadAp2	3667608	3667628	-	gadAX // gadAX	
GadX DNA-binding-site 100.5 bases upstream of gadAp2	3667698	3667718	-	gadAX // gadAX	
GadX DNA-binding-site 105.5 bases downstream of btuBp	4163494	4163514	+	btuB-murI	
GadX DNA-binding-site 11.5 bases downstream of glsAp	511574	511594	+	glsA-ybaT	
GadX DNA-binding-site 115.5 bases upstream of hdeDp2	3656835	3656855		hdeD // hdeAB-yhiD // hdeD // hdeAB-yhiD	
GadX DNA-binding-site 119.5 bases upstream of gadBp2	1572182	1572202	-	gadBC // gadBC	
GadX DNA-binding-site 121.5 bases upstream of gadAp2	3667719	3667739	-	gadAX // gadAX	
GadX DNA-binding-site 126.5 bases upstream of hdeAp2	3656908	3656928	-	hdeAB-yhiD // hdeAB-yhiD	
GadX DNA-binding-site 134.5 bases downstream of btuBp	4163523	4163543	+	btuB-murI	
GadX DNA-binding-site 151 bases upstream of tppBp	1712510	1712530	+	tppB	
GadX DNA-binding-site 17 bases downstream of slpp	3653942	3653962	+	slp-dctR	
GadX DNA-binding-site 17.5 bases upstream of gadBp2	1572080	1572100	-	gadBC // gadBC	
GadX DNA-binding-site 184 bases upstream of gadBp2	1572246	1572266	-	gadBC // gadBC	
GadX DNA-binding-site 210.5 bases upstream of gadBp2	1572273	1572293	-	gadBC // gadBC	
GadX DNA-binding-site 231.5 bases upstream of gadBp2	1572294	1572314	-	gadBC // gadBC	
GadX DNA-binding-site 233.5 bases upstream of ydeNp	1582778	1582798	-	ydeNM	
GadX DNA-binding-site 268 bases upstream of gadBp2	1572330	1572350	-	gadBC // gadBC	
GadX DNA-binding-site 29.5 bases upstream of gadEp3	3657761	3657781	+	gadEF // gadEF-mdtEF	
GadX DNA-binding-site 3 bases upstream of slpp	3653923	3653943	+	slp-dctR	
GadX DNA-binding-site 31.5 bases upstream of gadAp2	3667629	3667649	-	gadAX // gadAX	
GadX DNA-binding-site 32.5 bases upstream of gadWp2	3664804	3664824		gadW // gadY	
GadX DNA-binding-site 39.5 bases upstream of gadBp2	1572102	1572122	-	gadBC // gadBC	
GadX DNA-binding-site 50.5 bases upstream of gadEp3	3657740	3657760	+	gadEF // gadEF-mdtEF	
GadX DNA-binding-site 53.5 bases upstream of gadWp2	3664825	3664845		gadW // gadY	
GadX DNA-binding-site 57.5 bases upstream of gadAp2	3667655	3667675	-	gadAX // gadAX	
GadX DNA-binding-site 60.5 bases upstream of slpp	3653866	3653886	+	slp-dctR	
GadX DNA-binding-site 68.5 bases upstream of gadWp2	3664840	3664860	-	gadW	
GadX DNA-binding-site 69 bases upstream of ydeNp	1582613	1582633	-	ydeNM	
GadX DNA-binding-site 70.5 bases upstream of slpp	3653856	3653876	+	slp-dctR	
GadX DNA-binding-site 74.5 bases downstream of btuBp	4163463	4163483	+	btuB-murI	
GadX DNA-binding-site 78 bases upstream of gadAp2	3667676	3667695	-	gadAX // gadAX	
GadX DNA-binding-site 81.5 bases upstream of slpp	3653845	3653865	+	slp-dctR	
GadX DNA-binding-site 94.5 bases upstream of hdeDp2	3656856	3656876		hdeD // hdeAB-yhiD // hdeD // hdeAB-yhiD	
GadX DNA-binding-site 94.5 bases upstream of ynfBp	1655605	1655625	+	ynfB-speG	
GadX DNA-binding-site 96.5 bases upstream of gadWp2	3664868	3664888	-	gadW	
GadX DNA-binding-site 98.5 bases upstream of gadBp2	1572161	1572181	-	gadBC // gadBC	
GadX DNA-binding-site regulating uspEp			-	uspE	
GalR DNA-binding-site 136.5 bases downstream of galPp	3088383	3088399	+	galP	
GalR DNA-binding-site 46.5 bases downstream of galEp	792028	792044	-	galETKM // galE // galET // galETK // galETK // galET // galE // galETKM // galETK // galET // galE // galETKM	
GalR DNA-binding-site 59.5 bases upstream of mglBp2	2240618	2240634	-	mglBAC // mglBAC	
GalR DNA-binding-site 61.5 bases upstream of galPp	3088186	3088202	+	galP	
GalR DNA-binding-site 61.5 bases upstream of galSp	2241764	2241780	-	galS	
GalR DNA-binding-site 91.5 bases downstream of galSp	2241612	2241628	-	galS	
GalR-galactose DNA-binding-site 107.5 bases upstream of galPp	3088140	3088156	+	galP	
GalR-galactose DNA-binding-site 178.5 bases upstream of galPp	3088069	3088085	+	galP	
GalR-galactose DNA-binding-site 207.5 bases upstream of galPp	3088040	3088056	+	galP	
GalR-galactose DNA-binding-site 243.5 bases upstream of galPp	3088004	3088020	+	galP	
GalR-galactose DNA-binding-site 60.5 bases upstream of galEp	792134	792150	-	galETKM // galE // galET // galETK // galETK // galET // galE // galETKM // galETK // galET // galE // galETKM	
GalR-galactose DNA-binding-site 8.5 bases downstream of galRp	2976569	2976585	+	galR	
GalS DNA-binding-site 136.5 bases downstream of galPp	3088383	3088399	+	galP	
GalS DNA-binding-site 52.5 bases downstream of galEp	792022	792038	-	galETKM // galE // galET // galETK // galETK // galET // galE // galETKM // galETK // galET // galE // galETKM	
GalS DNA-binding-site 59.5 bases upstream of mglBp2	2240618	2240634	-	mglBAC // mglBAC	
GalS DNA-binding-site 61.5 bases upstream of galPp	3088186	3088202	+	galP	
GalS DNA-binding-site 61.5 bases upstream of galSp	2241764	2241780	-	galS	
GalS DNA-binding-site 92.5 bases downstream of galSp	2241611	2241627	-	galS	
GalS-galactose DNA-binding-site 107.5 bases upstream of galPp	3088140	3088156	+	galP	
GalS-galactose DNA-binding-site 178.5 bases upstream of galPp	3088069	3088085	+	galP	
GalS-galactose DNA-binding-site 207.5 bases upstream of galPp	3088040	3088056	+	galP	
GalS-galactose DNA-binding-site 243.5 bases upstream of galPp	3088004	3088020	+	galP	
GalS-galactose DNA-binding-site 60.5 bases upstream of galEp	792134	792150	-	galETKM // galE // galET // galETK // galETK // galET // galE // galETKM // galETK // galET // galE // galETKM	
GalS-galactose DNA-binding-site 8.5 bases downstream of galRp	2976569	2976585	+	galR	
GatR DNA-binding-site regulating gatYp			-	gatYZABCD	
GcvA DNA-binding-site 226 bases upstream of gcvTp	3050991	3051006	-	gcvTHP	
GcvA DNA-binding-site 258 bases upstream of gcvTp	3051023	3051038	-	gcvTHP	
GcvA DNA-binding-site 43 bases upstream of gcvBp	2942646	2942661		gcvB // gcvA	
GcvA DNA-binding-site 44 bases upstream of gcvTp	3050809	3050824	-	gcvTHP	
GcvA DNA-binding-site 66 bases upstream of gcvTp	3050831	3050846	-	gcvTHP	
GcvA DNA-binding-site 9 bases downstream of gcvAp	2942624	2942639		gcvA // gcvB	
GgaR DNA-binding-site regulating yegTp			+	yegTUV	
GlaR DNA-binding-site (BS0-9609)	2798969	2798984			
GlaR DNA-binding-site (BS0-9610)	3518463	3518478			
GlaR DNA-binding-site (BS0-9611)	121903	121918			
GlaR DNA-binding-site (BS0-9612)	2162840	2162855			
GlaR DNA-binding-site (BS0-9613)	1120762	1120777			
GlaR DNA-binding-site (BS0-9614)	4361767	4361782			
GlaR DNA-binding-site (BS0-9615)	2884517	2884532			
GlaR DNA-binding-site (BS0-9616)	2875714	2875729			
GlaR DNA-binding-site (BS0-9617)	554555	554570			
GlaR DNA-binding-site (BS0-9618)	3655100	3655115			
GlaR DNA-binding-site (BS0-9619)	3647502	3647517			
GlaR DNA-binding-site (BS0-9620)	999221	999236			
GlaR DNA-binding-site (BS0-9621)	1161728	1161743			
GlaR DNA-binding-site (BS0-9622)	3664257	3664272			
GlaR DNA-binding-site (BS0-9623)	3665723	3665738			
GlaR DNA-binding-site (BS0-9624)	2942128	2942143			
GlaR DNA-binding-site (BS0-9625)	1842496	1842511			
GlaR DNA-binding-site (BS0-9626)	3360933	3360948			
GlaR DNA-binding-site (BS0-9627)	154968	154983			
GlaR DNA-binding-site (BS0-9628)	4494742	4494757			
GlaR DNA-binding-site (BS0-9629)	2349942	2349957			
GlaR DNA-binding-site (BS0-9630)	1268129	1268144			
GlaR DNA-binding-site (BS0-9631)	210007	210022			
GlaR DNA-binding-site (BS0-9632)	1607366	1607381			
GlaR DNA-binding-site (BS0-9633)	2239123	2239138			
GlaR DNA-binding-site (BS0-9634)	667927	667942			
GlaR DNA-binding-site (BS0-9635)	97103	97118			
GlaR DNA-binding-site (BS0-9636)	3839966	3839981			
GlaR DNA-binding-site (BS0-9637)	2492327	2492342			
GlaR DNA-binding-site (BS0-9638)	53538	53553			
GlaR DNA-binding-site (BS0-9639)	1085142	1085157			
GlaR DNA-binding-site (BS0-9640)	1227083	1227098			
GlaR DNA-binding-site (BS0-9641)	2624960	2624975			
GlaR DNA-binding-site (BS0-9642)	1266566	1266581			
GlaR DNA-binding-site (BS0-9643)	2112963	2112978			
GlaR DNA-binding-site (BS0-9644)	523164	523179			
GlaR DNA-binding-site (BS0-9645)	4313472	4313487			
GlaR DNA-binding-site (BS0-9646)	1290038	1290053			
GlaR DNA-binding-site (BS0-9647)	1583498	1583513			
GlaR DNA-binding-site (BS0-9648)	4529884	4529899			
GlaR DNA-binding-site (BS0-9649)	1972262	1972277			
GlaR DNA-binding-site (BS0-9650)	3206509	3206524			
GlaR DNA-binding-site (BS0-9651)	1003037	1003052			
GlaR DNA-binding-site (BS0-9652)	1245173	1245188			
GlaR DNA-binding-site (BS0-9653)	1306884	1306899			
GlaR DNA-binding-site (BS0-9654)	1374262	1374277			
GlaR DNA-binding-site (BS0-9655)	1632674	1632689			
GlaR DNA-binding-site (BS0-9656)	1865721	1865736			
GlaR DNA-binding-site (BS0-9657)	2192409	2192424			
GlaR DNA-binding-site (BS0-9658)	2212179	2212194			
GlaR DNA-binding-site (BS0-9659)	2388559	2388574			
GlaR DNA-binding-site (BS0-9660)	2412396	2412411			
GlaR DNA-binding-site (BS0-9661)	2449768	2449783			
GlaR DNA-binding-site (BS0-9662)	2456007	2456022			
GlaR DNA-binding-site (BS0-9663)	2490557	2490572			
GlaR DNA-binding-site (BS0-9664)	2741829	2741844			
GlaR DNA-binding-site (BS0-9665)	2742387	2742402			
GlaR DNA-binding-site (BS0-9666)	3363042	3363057			
GlaR DNA-binding-site (BS0-9667)	4003273	4003288			
GlaR DNA-binding-site (BS0-9668)	4042555	4042570			
GlaR DNA-binding-site (BS0-9669)	4061355	4061370			
GlaR DNA-binding-site (BS0-9670)	4603252	4603267			
GlaR DNA-binding-site (BS0-9671)	1905204	1905219			
GlaR DNA-binding-site (BS0-9672)	2501021	2501036			
GlaR DNA-binding-site (BS0-9673)	4203327	4203342			
GlaR DNA-binding-site 13 bases upstream of csiDp	2788908	2788921	+	glaH-lhgD-gabDTP	
GlaR DNA-binding-site 32 bases upstream of csiDp	2788889	2788902	+	glaH-lhgD-gabDTP	
GlaR DNA-binding-site regulating bdcR	4473760	4473775	+	bdcR	
GlaR DNA-binding-site regulating chaBC	1272181	1272196		chaBC // chaA	
GlaR DNA-binding-site regulating kdgT	4101601	4101616	+	kdgT	
GlaR DNA-binding-site regulating orn	4391540	4391555		orn // rsgA	
GlaR DNA-binding-site regulating pdeG	1217378	1217393	+	pdeG	
GlaR DNA-binding-site regulating smg	3432340	3432355	-	smg	
GlaR DNA-binding-site regulating yadN	157223	157238	-	yadN	
GlaR DNA-binding-site regulating ybaN	491053	491068	+	ybaN	
GlaR DNA-binding-site regulating yccU	1027840	1027855	+	yccU	
GlaR DNA-binding-site regulating ycgV	1256356	1256371	-	ycgV	
GlaR DNA-binding-site regulating ydcK	1500432	1500447	-	ydcK	
GlaR DNA-binding-site regulating ydfI	1631374	1631389	-	ydfI	
GlaR DNA-binding-site regulating ydhS	1747133	1747148	+	ydhS	
GlaR DNA-binding-site regulating yfdC	2465606	2465621	+	yfdC	
GlaR DNA-binding-site regulating yfjD	2748613	2748628	+	yfjD	
GlaR DNA-binding-site regulating ygiV	3169200	3169215	-	ygiV	
GlaR DNA-binding-site regulating ygjI	3225803	3225818	+	ygjI	
GlaR DNA-binding-site regulating yidB	3877705	3877720	-	yidB	
GlaR DNA-binding-site regulating yjfY	4424691	4424706	-	yjfY	
GlaR DNA-binding-site regulating ynaE	1434613	1434628	-	ynaE	
GlaR DNA-binding-site regulating yodB	2041850	2041865	+	yodB	
